COD_VAR;LIB_VAR;LIB_VAR_LONG;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
NBMENFISC17;Nombre de ménages fiscaux;Nombre de ménages fiscaux;;;NUM;8
NBPERSMENFISC17;Nombre de personnes dans les ménages fiscaux;Nombre de personnes dans les ménages fiscaux;;;NUM;8
MED17;Médiane du niveau de vie (€);Médiane du niveau de vie (€);;;NUM;5
PIMP17;Part des ménages fiscaux imposés (%);Part des ménages fiscaux imposés (%);;;NUM;4
TP6017;Taux de pauvreté-Ensemble (%);Taux de pauvreté-Ensemble (%);;;NUM;4
TP60AGE117;Taux de pauvreté-moins de 30 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a moins de 30 ans (%);;;NUM;4
TP60AGE217;Taux de pauvreté-30 à 39 ans  (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 30 à 39 ans (%);;;NUM;4
TP60AGE317;Taux de pauvreté-40 à 49 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 40 à 49 ans (%);;;NUM;4
TP60AGE417;Taux de pauvreté-50 à 59 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 50 à 59 ans (%);;;NUM;4
TP60AGE517;Taux de pauvreté-60 à 74 ans (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a de 60 à 74 ans (%);;;NUM;3
TP60AGE617;Taux de pauvreté-75 ans ou plus (%);Taux de pauvreté des personnes dans les ménages dont le référent fiscal a 75 ans ou plus (%);;;NUM;1
TP60TOL117;Taux de pauvreté-propriétaires (%);Taux de pauvreté des personnes dans les ménages propriétaires de leur logement (%);;;NUM;3
TP60TOL217;Taux de pauvreté-locataires (%);Taux de pauvreté des personnes dans les ménages locataires de leur logement (%);;;NUM;4
PACT17;Part des revenus d'activité (%);Part des revenus d'activité (%);;;NUM;4
PTSA17;dont part des salaires et traitements (%);dont part des salaires et traitements (%);;;NUM;4
PCHO17;dont part des indemnités de chômage (%);dont part des indemnités de chômage (%);;;NUM;3
PBEN17;dont part des revenus des activités non salariées (%);dont part des revenus des activités non salariées (%);;;NUM;3
PPEN17;Part des pensions, retraites et rentes (%);Part des pensions, retraites et rentes (%);;;NUM;4
PPAT17;Part des revenus du patrimoine et autres revenus (%);Part des revenus du patrimoine et des autres revenus (%);;;NUM;3
PPSOC17;Part de l'ensemble des prestations sociales (%);Part de l'ensemble des prestations sociales (%);;;NUM;3
PPFAM17;dont part des prestations familiales (%);dont part des prestations familiales (%);;;NUM;3
PPMINI17;dont part des minima sociaux (%);dont part des minima sociaux (%);;;NUM;1
PPLOGT17;dont part des prestations logement (%);dont part des prestations logement (%);;;NUM;3
PIMPOT17;Part des impôts (%);Part des impôts (%);;;NUM;5
D117;1er décile du niveau de vie (€);1er décile du niveau de vie (€);;;NUM;5
D917;9e décile du niveau de vie (€);9e décile du niveau de vie (€);;;NUM;5
RD17;Rapport interdécile 9e décile/1er décile;Rapport interdécile 9e décile/1er décile;;;NUM;3
CODGEO;Code géographique;Code géographique;1;France métropolitaine;CHAR;1
